Date,Close
2016+AC0-01+AC0-18,97.940002
2016+AC0-01+AC0-25,112.209999
2016+AC0-02+AC0-01,104.07
2016+AC0-02+AC0-08,102.010002
2016+AC0-02+AC0-15,104.57
2016+AC0-02+AC0-22,107.919998
2016+AC0-02+AC0-29,108.389999
2016+AC0-03+AC0-07,109.410004
2016+AC0-03+AC0-14,111.449997
2016+AC0-03+AC0-21,113.050003
2016+AC0-03+AC0-28,116.059998
2016+AC0-04+AC0-04,110.629997
2016+AC0-04+AC0-11,109.639999
2016+AC0-04+AC0-18,110.559998
2016+AC0-04+AC0-25,117.580002
2016+AC0-05+AC0-02,119.489998
2016+AC0-05+AC0-09,119.809998
2016+AC0-05+AC0-16,117.349998
2016+AC0-05+AC0-23,119.379997
2016+AC0-05+AC0-30,118.470001
2016+AC0-06+AC0-06,116.620003
2016+AC0-06+AC0-13,113.019997
2016+AC0-06+AC0-20,112.080002
2016+AC0-06+AC0-27,114.190002
2016+AC0-07+AC0-04,117.239998
2016+AC0-07+AC0-11,116.860001
2016+AC0-07+AC0-18,121
2016+AC0-07+AC0-25,123.940002
2016+AC0-08+AC0-01,125.150002
2016+AC0-08+AC0-08,124.879997
2016+AC0-08+AC0-15,123.559998
2016+AC0-08+AC0-22,124.959999
2016+AC0-08+AC0-29,126.510002
2016+AC0-09+AC0-05,127.099998
2016+AC0-09+AC0-12,129.070007
2016+AC0-09+AC0-19,127.959999
2016+AC0-09+AC0-26,128.270004
2016+AC0-10+AC0-03,128.990005
2016+AC0-10+AC0-10,127.879997
2016+AC0-10+AC0-17,132.070007
2016+AC0-10+AC0-24,131.289993
2016+AC0-10+AC0-31,120.75
2016+AC0-11+AC0-07,119.019997
2016+AC0-11+AC0-14,117.019997
2016+AC0-11+AC0-21,120.379997
2016+AC0-11+AC0-28,115.400002
2016+AC0-12+AC0-05,119.68
2016+AC0-12+AC0-12,119.870003
2016+AC0-12+AC0-19,117.269997
2016+AC0-12+AC0-26,115.050003
2017+AC0-01+AC0-02,123.410004
2017+AC0-01+AC0-09,128.339996
2017+AC0-01+AC0-16,127.040001
2017+AC0-01+AC0-23,132.179993
2017+AC0-01+AC0-30,130.979996
2017+AC0-02+AC0-06,134.190002
2017+AC0-02+AC0-13,133.529999
2017+AC0-02+AC0-20,135.440002
2017+AC0-02+AC0-27,137.169998
2017+AC0-03+AC0-06,138.789993
2017+AC0-03+AC0-13,139.839996
2017+AC0-03+AC0-20,140.339996
2017+AC0-03+AC0-27,142.050003
2017+AC0-04+AC0-03,140.779999
2017+AC0-04+AC0-10,139.389999
2017+AC0-04+AC0-17,143.679993
2017+AC0-04+AC0-24,150.25
2017+AC0-05+AC0-01,150.240005
2017+AC0-05+AC0-08,150.330002
2017+AC0-05+AC0-15,148.059998
2017+AC0-05+AC0-22,152.130005
2017+AC0-05+AC0-29,153.610001
2017+AC0-06+AC0-05,149.600006
2017+AC0-06+AC0-12,150.639999
2017+AC0-06+AC0-19,155.070007
2017+AC0-06+AC0-26,150.979996
2017+AC0-07+AC0-03,151.440002
2017+AC0-07+AC0-10,159.970001
2017+AC0-07+AC0-17,164.429993
2017+AC0-07+AC0-24,172.449997
2017+AC0-07+AC0-31,169.619995
2017+AC0-08+AC0-07,168.080002
2017+AC0-08+AC0-14,167.410004
