Date,Close,,x,Y,,X,Y
2018+AC0-07+AC0-24,214.669998,,79,189.8930817733,,79,174.9268448702
2018+AC0-07+AC0-25,217.5,,80,189.7150940835,,80,174.7419251517
2018+AC0-07+AC0-26,176.259995,,81,189.5232423487,,81,174.5570054332
2018+AC0-07+AC0-27,174.889999,,82,189.3175265689,,82,174.3720857147
2018+AC0-07+AC0-30,171.059998,,83,189.0979467441,,83,174.1871659962
2018+AC0-07+AC0-31,172.580002,,84,188.8645028743,,84,174.0022462777
2018+AC0-08+AC0-01,171.649994,,85,188.6171949595,,85,173.8173265592
2018+AC0-08+AC0-02,176.369995,,86,188.3560229997,,86,173.6324068407
2018+AC0-08+AC0-03,177.779999,,87,188.0809869949,,87,173.4474871222
2018+AC0-08+AC0-06,185.690002,,88,187.7920869451,,88,173.2625674037
2018+AC0-08+AC0-07,183.809998,,89,187.4893228503,,89,173.0776476852
2018+AC0-08+AC0-08,185.179993,,90,187.1726947105,,90,172.8927279667
2018+AC0-08+AC0-09,183.089996,,91,186.8422025257,,91,172.7078082482
2018+AC0-08+AC0-10,180.259995,,92,186.4978462959,,92,172.5228885297
2018+AC0-08+AC0-13,180.050003,,93,186.1396260211,,93,172.3379688112
2018+AC0-08+AC0-14,181.110001,,94,185.7675417013,,94,172.1530490927
2018+AC0-08+AC0-15,179.529999,,95,185.3815933365,,95,171.9681293742
2018+AC0-08+AC0-16,174.699997,,96,184.9817809267,,96,171.7832096557
2018+AC0-08+AC0-17,173.800003,,97,184.5681044719,,97,171.5982899372
2018+AC0-08+AC0-20,172.5,,98,184.1405639721,,98,171.4133702187
2018+AC0-08+AC0-21,172.619995,,99,183.6991594273,,99,171.2284505002
2018+AC0-08+AC0-22,173.639999,,100,183.2438908375,,100,171.0435307817
2018+AC0-08+AC0-23,172.899994,,101,182.7747582027,,101,170.8586110632
2018+AC0-08+AC0-24,174.649994,,102,182.2917615229,,102,170.6736913447
2018+AC0-08+AC0-27,177.460007,,103,181.7949007981,,103,170.4887716262
2018+AC0-08+AC0-28,176.259995,,104,181.2841760283,,104,170.3038519077
2018+AC0-08+AC0-29,175.899994,,105,180.7595872135,,105,170.1189321892
2018+AC0-08+AC0-30,177.639999,,106,180.2211343537,,106,169.9340124707
2018+AC0-08+AC0-31,175.729996,,107,179.6688174489,,107,169.7490927522
2018+AC0-09+AC0-04,171.160004,,108,179.1026364991,,108,169.5641730337
2018+AC0-09+AC0-05,167.179993,,109,178.5225915043,,109,169.3792533152
2018+AC0-09+AC0-06,162.529999,,110,177.9286824645,,110,169.1943335967
2018+AC0-09+AC0-07,163.039993,,111,177.3209093797,,111,169.0094138782
2018+AC0-09+AC0-10,164.179993,,112,176.6992722499,,112,168.8244941597
2018+AC0-09+AC0-11,165.940002,,113,176.0637710751,,113,168.6395744412
2018+AC0-09+AC0-12,162,,114,175.4144058553,,114,168.4546547227
2018+AC0-09+AC0-13,161.360001,,115,174.7511765905,,115,168.2697350042
2018+AC0-09+AC0-14,162.320007,,116,174.0740832807,,116,168.0848152857
2018+AC0-09+AC0-17,160.580002,,117,173.3831259259,,117,167.8998955672
2018+AC0-09+AC0-18,160.300003,,118,172.6783045261,,118,167.7149758487
2018+AC0-09+AC0-19,163.059998,,119,171.9596190813,,119,167.5300561302
2018+AC0-09+AC0-20,166.020004,,120,171.2270695915,,120,167.3451364117
2018+AC0-09+AC0-21,162.929993,,121,170.4806560567,,121,167.1602166932
2018+AC0-09+AC0-24,165.410004,,122,169.7203784769,,122,166.9752969747
2018+AC0-09+AC0-25,164.910004,,123,168.9462368521,,123,166.7903772562
2018+AC0-09+AC0-26,166.949997,,124,168.1582311823,,124,166.6054575377
2018+AC0-09+AC0-27,168.839996,,125,167.3563614675,,125,166.4205378192
2018+AC0-09+AC0-28,164.460007,,126,166.5406277077,,126,166.2356181007
2018+AC0-10+AC0-01,162.440002,,127,165.7110299029,,127,166.0506983822
2018+AC0-10+AC0-02,159.330002,,128,164.8675680531,,128,165.8657786637
2018+AC0-10+AC0-03,162.429993,,129,164.0102421583,,129,165.6808589452
2018+AC0-10+AC0-04,158.850006,,130,163.1390522185,,130,165.4959392267
2018+AC0-10+AC0-05,157.330002,,131,162.2539982337,,131,165.3110195082
2018+AC0-10+AC0-08,157.25,,132,161.3550802039,,132,165.1260997897
2018+AC0-10+AC0-09,157.899994,,133,160.4422981291,,133,164.9411800712
2018+AC0-10+AC0-10,151.380005,,134,159.5156520093,,134,164.7562603527
2018+AC0-10+AC0-11,153.350006,,135,158.5751418445,,135,164.5713406342
2018+AC0-10+AC0-12,153.740005,,136,157.6207676347,,136,164.3864209157
2018+AC0-10+AC0-15,153.520004,,137,156.6525293799,,137,164.2015011972
2018+AC0-10+AC0-16,158.779999,,138,155.6704270801,,138,164.0165814787
2018+AC0-10+AC0-17,159.419998,,139,154.6744607353,,139,163.8316617602
2018+AC0-10+AC0-18,154.919998,,140,153.6646303455,,140,163.6467420417
2018+AC0-10+AC0-19,154.050003,,141,152.6409359107,,141,163.4618223232
2018+AC0-10+AC0-22,154.779999,,142,151.6033774309,,142,163.2769026047
2018+AC0-10+AC0-23,154.389999,,143,150.5519549061,,143,163.0919828862
2018+AC0-10+AC0-24,146.039993,,144,149.4866683363,,144,162.9070631677
2018+AC0-10+AC0-25,150.949997,,145,148.4075177215,,145,162.7221434492
2018+AC0-10+AC0-26,145.369995,,146,147.3145030617,,146,162.5372237307
2018+AC0-10+AC0-29,142.089996,,147,146.2076243569,,147,162.3523040122
2018+AC0-10+AC0-30,146.220001,,148,145.0868816071,,148,162.1673842937
2018+AC0-10+AC0-31,151.789993,,149,143.9522748123,,149,161.9824645752
2018+AC0-11+AC0-01,151.75,,150,142.8038039725,,150,161.7975448567
2018+AC0-11+AC0-02,150.350006,,151,141.6414690877,,151,161.6126251382
2018+AC0-11+AC0-05,148.679993,,152,140.4652701579,,152,161.4277054197
2018+AC0-11+AC0-06,149.940002,,153,139.2752071831,,153,161.2427857012
2018+AC0-11+AC0-07,151.529999,,154,138.0712801633,,154,161.0578659827
2018+AC0-11+AC0-08,147.869995,,155,136.8534890985,,155,160.8729462642
2018+AC0-11+AC0-09,144.960007,,156,135.6218339887,,156,160.6880265457
2018+AC0-11+AC0-12,141.550003,,157,134.3763148339,,157,160.5031068272
2018+AC0-11+AC0-13,142.160004,,158,133.1169316341,,158,160.3181871087
2018+AC0-11+AC0-14,144.220001,,159,131.8436843893,,159,160.1332673902
