Date,Close,,x,y
2015+AC0-11+AC0-30,106.18,,133,
2015+AC0-12+AC0-07,102.120003,,134,
2015+AC0-12+AC0-14,104.040001,,135,
2015+AC0-12+AC0-21,105.019997,,136,
2015+AC0-12+AC0-28,104.660004,,137,
2016+AC0-01+AC0-04,97.330002,,138,
2016+AC0-01+AC0-11,94.970001,,139,
2016+AC0-01+AC0-18,97.940002,,140,
2016+AC0-01+AC0-25,112.209999,,141,
2016+AC0-02+AC0-01,104.07,,142,
2016+AC0-02+AC0-08,102.010002,,143,
2016+AC0-02+AC0-15,104.57,,144,
2016+AC0-02+AC0-22,107.919998,,145,
2016+AC0-02+AC0-29,108.389999,,146,
2016+AC0-03+AC0-07,109.410004,,147,
2016+AC0-03+AC0-14,111.449997,,148,
2016+AC0-03+AC0-21,113.050003,,149,
2016+AC0-03+AC0-28,116.059998,,150,
2016+AC0-04+AC0-04,110.629997,,151,
2016+AC0-04+AC0-11,109.639999,,152,
2016+AC0-04+AC0-18,110.559998,,153,
2016+AC0-04+AC0-25,117.580002,,154,
2016+AC0-05+AC0-02,119.489998,,155,
2016+AC0-05+AC0-09,119.809998,,156,
2016+AC0-05+AC0-16,117.349998,,157,
2016+AC0-05+AC0-23,119.379997,,158,
2016+AC0-05+AC0-30,118.470001,,159,
2016+AC0-06+AC0-06,116.620003,,160,
2016+AC0-06+AC0-13,113.019997,,161,
2016+AC0-06+AC0-20,112.080002,,162,
2016+AC0-06+AC0-27,114.190002,,163,
2016+AC0-07+AC0-04,117.239998,,164,
2016+AC0-07+AC0-11,116.860001,,165,
2016+AC0-07+AC0-18,121,,166,
2016+AC0-07+AC0-25,123.940002,,167,
2016+AC0-08+AC0-01,125.150002,,168,
2016+AC0-08+AC0-08,124.879997,,169,
2016+AC0-08+AC0-15,123.559998,,170,
2016+AC0-08+AC0-22,124.959999,,171,
2016+AC0-08+AC0-29,126.510002,,172,
2016+AC0-09+AC0-05,127.099998,,173,
2016+AC0-09+AC0-12,129.070007,,174,
2016+AC0-09+AC0-19,127.959999,,175,
2016+AC0-09+AC0-26,128.270004,,176,
2016+AC0-10+AC0-03,128.990005,,177,
2016+AC0-10+AC0-10,127.879997,,178,
2016+AC0-10+AC0-17,132.070007,,179,
2016+AC0-10+AC0-24,131.289993,,180,
2016+AC0-10+AC0-31,120.75,,181,
2016+AC0-11+AC0-07,119.019997,,182,
2016+AC0-11+AC0-14,117.019997,,183,
2016+AC0-11+AC0-21,120.379997,,184,
2016+AC0-11+AC0-28,115.400002,,185,
2016+AC0-12+AC0-05,119.68,,186,
2016+AC0-12+AC0-12,119.870003,,187,
2016+AC0-12+AC0-19,117.269997,,188,
2016+AC0-12+AC0-26,115.050003,,189,
2017+AC0-01+AC0-02,123.410004,,190,
2017+AC0-01+AC0-09,128.339996,,191,
2017+AC0-01+AC0-16,127.040001,,192,
2017+AC0-01+AC0-23,132.179993,,193,
2017+AC0-01+AC0-30,130.979996,,194,
2017+AC0-02+AC0-06,134.190002,,195,
2017+AC0-02+AC0-13,133.529999,,196,
2017+AC0-02+AC0-20,135.440002,,197,
2017+AC0-02+AC0-27,137.169998,,198,
2017+AC0-03+AC0-06,138.789993,,199,
2017+AC0-03+AC0-13,139.839996,,200,
2017+AC0-03+AC0-20,140.339996,,201,
2017+AC0-03+AC0-27,142.050003,,202,
2017+AC0-04+AC0-03,140.779999,,203,
2017+AC0-04+AC0-10,139.389999,,204,
2017+AC0-04+AC0-17,143.679993,,205,
2017+AC0-04+AC0-24,150.25,,206,
2017+AC0-05+AC0-01,150.240005,,207,
2017+AC0-05+AC0-08,150.330002,,208,
2017+AC0-05+AC0-15,148.059998,,209,
2017+AC0-05+AC0-22,152.130005,,210,
2017+AC0-05+AC0-29,153.610001,,211,
2017+AC0-06+AC0-05,149.600006,,212,
2017+AC0-06+AC0-12,150.639999,,213,
2017+AC0-06+AC0-19,155.070007,,214,
2017+AC0-06+AC0-26,150.979996,,215,
2017+AC0-07+AC0-03,151.440002,,216,
2017+AC0-07+AC0-10,159.970001,,217,
2017+AC0-07+AC0-17,164.429993,,218,
2017+AC0-07+AC0-24,172.449997,,219,
2017+AC0-07+AC0-31,169.619995,,220,
2017+AC0-08+AC0-07,168.080002,,221,
2017+AC0-08+AC0-14,167.410004,,222,
2017+AC0-08+AC0-21,166.320007,,223,
2017+AC0-08+AC0-28,172.020004,,224,
2017+AC0-09+AC0-04,170.949997,,225,
2017+AC0-09+AC0-11,171.639999,,226,
2017+AC0-09+AC0-18,170.539993,,227,
2017+AC0-09+AC0-25,170.869995,,228,
2017+AC0-10+AC0-02,172.229996,,229,
2017+AC0-10+AC0-09,173.740005,,230,
2017+AC0-10+AC0-16,174.979996,,231,
2017+AC0-10+AC0-23,177.880005,,232,
2017+AC0-10+AC0-30,178.919998,,233,
2017+AC0-11+AC0-06,178.460007,,234,
2017+AC0-11+AC0-13,179,,235,
2017+AC0-11+AC0-20,182.779999,,236,
2017+AC0-11+AC0-27,175.100006,,237,
2017+AC0-12+AC0-04,179,,238,
2017+AC0-12+AC0-11,180.179993,,239,
2017+AC0-12+AC0-18,177.199997,,240,
2017+AC0-12+AC0-25,176.460007,,241,
2018+AC0-01+AC0-01,186.850006,,242,
2018+AC0-01+AC0-08,179.369995,,243,
2018+AC0-01+AC0-15,181.289993,,244,
2018+AC0-01+AC0-22,190,,245,
2018+AC0-01+AC0-29,190.279999,,246,
2018+AC0-02+AC0-05,176.110001,,247,
2018+AC0-02+AC0-12,177.360001,,248,
2018+AC0-02+AC0-19,183.289993,,249,
2018+AC0-02+AC0-26,176.619995,,250,
2018+AC0-03+AC0-05,185.229996,,251,
2018+AC0-03+AC0-12,185.089996,,252,
2018+AC0-03+AC0-19,159.389999,,253,
2018+AC0-03+AC0-26,159.789993,,254,
2018+AC0-04+AC0-02,157.199997,,255,
2018+AC0-04+AC0-09,164.520004,,256,
2018+AC0-04+AC0-16,166.279999,,257,
2018+AC0-04+AC0-23,173.589996,,258,
2018+AC0-04+AC0-30,176.610001,,259,
2018+AC0-05+AC0-07,186.990005,,260,
2018+AC0-05+AC0-14,182.679993,,261,
2018+AC0-05+AC0-21,184.919998,,262,
2018+AC0-05+AC0-28,193.990005,,263,
2018+AC0-06+AC0-04,189.100006,,264,
2018+AC0-06+AC0-11,195.850006,,265,
