Date,Close
2018+AC0-10+AC0-18,154.919998
2018+AC0-10+AC0-19,154.050003
2018+AC0-10+AC0-22,154.779999
2018+AC0-10+AC0-23,154.389999
2018+AC0-10+AC0-24,146.039993
2018+AC0-10+AC0-25,150.949997
2018+AC0-10+AC0-26,145.369995
2018+AC0-10+AC0-29,142.089996
2018+AC0-10+AC0-30,146.220001
2018+AC0-10+AC0-31,151.789993
2018+AC0-11+AC0-01,151.75
2018+AC0-11+AC0-02,150.350006
2018+AC0-11+AC0-05,148.679993
2018+AC0-11+AC0-06,149.940002
2018+AC0-11+AC0-07,151.529999
2018+AC0-11+AC0-08,147.869995
2018+AC0-11+AC0-09,144.960007
